date | value
-32768-01-01 | 1
-32767-01-01 | 1
-3001-01-01 | 1
2009-01-01 | 1
2009-01-02 | 1
2010-08-19 | 1
2010-08-20 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11|1
   2012-01-11|1
2012 - 01 - 11 | 1
2012-01-11   |   1
2012-01-11 | 1      
2012 | 1
2012-01-11 | 1
2012-01-11 | 0.1
2012-01-11 | 0.01
2012-01-11 | 0.001
2012-01-11 | 0.0001
2012-01-11 | 0.000000000000000000001
2012-01-11 | 2147483647
2012-01-11 | 2147483648
2012-01-11 | -2147483647
2022-03-28 | 1
32767-01-01 | 1
32768-01-01 | 1
3276800000000000000000-01-01 | 1
32767-9999999999999999999-01 | 1
32767-01-999999999999999999999999 | 1
32767-+01-+01 | 1
